n,operation_error,solution_error
2,0.0,2.0
3,0.0,7.0
4,0.0,25.3333333333
5,0.0,100.666666667
6,0.0,430.866666667
7,0.0,1944.1
8,0.0,9109.94285714
9,0.0,43904.3047619
10,0.0,216216.463492
11,0.0,1083240.63176
