"('gs result', 'gs init error norm')"
17,0.4358240641055769
16,1.1417036413086028
14,0.9019938555465707
18,0.9592878210048519
16,0.9606428953622317
15,0.8575847698579995
16,0.8783371605269382
17,0.6026905113851883
14,1.2113410626897552
18,0.18478626705871407
17,0.969607509852768
17,0.8478164434503286
17,1.391845537788444
15,0.5819476828752722
17,0.9979271199904488
13,0.7684573271694441
16,1.437083542831183
17,0.7539964527297968
17,0.4321104183151458
15,1.2138982406251182
18,0.9406115091551374
16,1.396738408143421
16,0.6884185985034492
16,0.8386572713483962
16,1.1042670168768718
11,0.8321567126040568
15,0.6358496833555983
18,1.0437492289360168
17,0.9397753576808234
15,1.0992956105969296
17,1.295529775381521
11,0.6093096852238898
17,1.1859403356966975
17,0.8643194619221438
14,0.46552990100904285
15,0.895675768466818
17,0.8884334699912507
15,1.2944955655421981
18,0.859144342160327
16,1.0599461524671414
13,0.6865810458782506
15,0.5745764871775577
16,0.7734101923352822
17,1.3316359371205304
12,0.4928861907241728
18,0.9843429024985376
16,1.342025417188938
15,0.851831931447551
16,1.0441164668471161
16,0.9896227816708615
16,1.1376589099775323
9,1.10353529357515
16,1.256681922522957
15,0.8500330186896318
17,1.152505413324944
14,0.654784571849761
15,1.0054976779381302
11,0.6770004402073341
17,1.0605188349576646
16,0.6045939423831518
15,1.2757316648879728
17,0.45181281713504856
15,1.1604334458585248
17,1.267991709220067
17,1.1763806704600384
13,0.9270112482226815
17,1.0811713796250557
16,1.2684678181048992
16,1.2152200920611316
15,0.9332592211152996
18,1.2545499290106958
17,1.198855094939059
16,1.1180731907458845
12,1.206734184055428
15,0.3719787739254259
16,0.9081447340290735
18,0.6628979021773252
16,1.1077069913362465
12,0.7682976750067001
14,1.0023548113854022
16,0.6265623602048852
14,0.9668139637988828
16,1.0841123790485823
17,0.9322217361945937
16,1.077460794144962
16,0.9932899603901357
17,0.6852182459182734
16,1.0908152082273266
17,1.4073866163830866
16,0.9993671426891945
16,1.069877837703245
17,0.9708022236061926
15,1.0229530417871247
18,0.9422304769581303
11,0.5323901384848546
14,1.3613715500183983
18,1.2447674603288412
17,1.338523643884734
10,1.1647653353552974
14,1.0395622305153884
