n,operation_error,solution_error
2,0.5,0.5
3,1.11022302463e-16,1.66666666667
4,5.45,10.5
5,20.3992125862,33.9166666667
6,56.1161683247,130.0
7,157.307647571,666.8
8,545.358981719,2491.69285711
9,1579.46544246,12399.1488117
10,4789.16600745,62707.3435214
11,14582.9261511,253211.852313
