jacobi result,jacobi init error norm
35,1.2095876509042396
31,0.7553145569929814
29,1.386926622085588
32,0.6043366794525694
32,1.1315846904517057
33,0.7539579698607499
33,0.594065971162247
32,0.9890135319500811
19,0.8795419696812906
36,1.2697602969796542
35,1.1333482905822008
31,0.7428466037406662
15,0.8620471293574197
31,0.37356735793493734
33,1.35206885516668
33,0.6069953474053452
32,1.1275811224417027
34,1.4521590644606326
33,0.8550593523726372
29,0.5042213243877671
30,0.5930487869412573
28,1.229338716809004
36,1.3579382439668022
33,0.6327000802318024
34,1.1421833373729384
35,1.4561075901181901
31,1.0418305655997586
32,0.8265135264192476
33,1.007231139593687
34,0.7948357323338624
34,0.9091576305741512
28,1.0991435242800838
35,1.0284676552368253
35,0.9719830542985652
33,0.7341357804507864
33,0.7059464341137665
31,0.46206609752232747
32,1.0690496676180419
34,0.7623727844964673
24,0.14186294612634456
32,1.48431140425977
30,1.3519888796740127
33,0.9262108741172075
31,0.624634342748343
32,1.0569511981657704
36,1.4844072131434487
33,1.2712005368478365
34,1.2075806581215887
29,0.7863765499082024
35,1.1953941165905766
30,0.4997101988953
35,1.1150398239822616
34,0.873128371434144
32,1.4486656979148866
33,1.0179079461896707
32,0.6701465916585952
35,1.1860261816677573
30,0.6303091677871302
31,1.3356947276399196
29,0.9790233127745794
32,0.7166481249457739
34,0.8467263726463072
32,0.6253687891797729
34,1.025688810130845
32,0.8178580902670115
32,0.3953481043394371
17,0.8822821595740068
27,0.46379507802905845
35,1.1538217558757429
31,1.276110707455914
35,1.0072793569035765
33,1.0181547744911812
31,1.0075693734634044
35,1.1194677362449559
19,1.287204615390861
35,1.2631794029174828
32,1.107128995182082
34,0.9645159735382525
32,0.6848138797121262
31,0.8039589567974672
34,1.029998907086499
32,0.8802281607957898
28,1.1339834484121007
31,1.019267667140464
33,0.5206007854216911
25,0.3130099170579779
32,0.9093025494655745
33,0.6119224756898549
21,1.0029587800959108
30,0.6552856967472385
35,1.2032507111359183
30,0.6909189324091848
34,1.0562172426163123
30,0.5123035725328174
24,0.7861109715232497
28,1.1021034887405656
32,0.6547856572972173
33,1.1823165230631336
35,1.0521313573474127
35,1.5448569498091889
