n,operation_error,solution_error
2,0.0,0.0
3,0.0,6.66133814775e-16
4,0.0,8.881784197e-16
5,0.0,5.3290705182e-15
6,0.0,1.06581410364e-14
7,0.0,7.81597009336e-14
8,0.0,5.3290705182e-13
9,0.0,2.13460427667e-08
10,0.0,7.51043671698e-12
11,0.0,2.37056837332e-05
12,0.0,1.07860387288e-10
