n,operation_error,solution_error
2,1.0,0.5
3,5.03544799743,0.410935177649
4,16.5045563964,0.39435009297
5,54.8567765829,0.4066071387
6,188.924310032,0.489916025455
7,664.918423972,0.412651679404
8,2383.63575609,0.43122656591
9,8667.99258126,0.489492409759
10,31866.9677848,0.435689085722
11,118174.427534,0.453038248149
12,441318.053197,0.479286829631
